SITE	f128vec	1	6	[]	flock-core/src/zerocheck.rs:708:20 prove_packed_padded_inner<site_census::LogCh> <- flock-core/src/zerocheck.rs:657:36 prove_packed_padded_capture_s_hat_v_c_with_grinding<site_census::LogCh>
SITE	f128vec	1	18	[]	flock-core/src/zerocheck.rs:710:30 prove_packed_padded_inner<site_census::LogCh> <- flock-core/src/zerocheck.rs:657:36 prove_packed_padded_capture_s_hat_v_c_with_grinding<site_census::LogCh>
SITE	f128	1	1	[]	flock-core/src/zerocheck.rs:762:20 prove_packed_padded_inner<site_census::LogCh> <- flock-core/src/zerocheck.rs:657:36 prove_packed_padded_capture_s_hat_v_c_with_grinding<site_census::LogCh>
SITE	f128	25	25	[]	flock-core/src/zerocheck.rs:867:28 prove_packed_padded_inner<site_census::LogCh> <- flock-core/src/zerocheck.rs:657:36 prove_packed_padded_capture_s_hat_v_c_with_grinding<site_census::LogCh>
SITE	f128	1	1	[]	flock-core/src/lincheck/union.rs:312:20 prove_union_capture_z_vec_with_grinding<site_census::LogCh> <- flock-prover/src/prover.rs:1155:51 {closure#0}<site_census::LogCh>
SITE	f128	2	2	[]	flock-core/src/lincheck/union.rs:375:28 prove_union_capture_z_vec_with_grinding<site_census::LogCh> <- flock-prover/src/prover.rs:1155:51 {closure#0}<site_census::LogCh>
SITE	f128	9	9	[]	flock-core/src/lincheck.rs:1902:28 column_sumcheck_prove<site_census::LogCh> <- flock-core/src/lincheck/union.rs:416:30 prove_union_capture_z_vec_with_grinding<site_census::LogCh>
SITE	f128	1	1	[]	flock-core/src/lincheck.rs:1226:54 sample_fresh<site_census::LogCh> <- flock-core/src/lincheck/union.rs:416:30 prove_union_capture_z_vec_with_grinding<site_census::LogCh>
SITE	f128vec	2	14	[]	flock-core/src/pcs/ring_switch.rs:2581:28 prove_batched_padded_with_precomputed_and_grinding_impl<site_census::LogCh> <- flock-core/src/pcs/ring_switch.rs:2341:5 prove_batched_padded_with_precomputed_unbatched_and_grinding<site_census::LogCh>
SITE	f128vec	1	2	[]	flock-core/src/pcs.rs:2044:20 open_batch_merged<site_census::LogCh> <- flock-prover/src/prover.rs:1427:20 prove_union_with_binding_zerocheck<site_census::LogCh>
SITE	f128	23	23	[]	flock-core/src/pcs.rs:1902:24 merged_sumcheck_rounds<site_census::LogCh> <- flock-core/src/pcs.rs:2213:19 open_batch_merged<site_census::LogCh>
SITE	fork-seed	1	2	[]	flock-core/src/pcs.rs:2282:31 open_batch_merged<site_census::LogCh> <- flock-prover/src/prover.rs:1427:20 prove_union_with_binding_zerocheck<site_census::LogCh>
