FAIL	honest c1024/s0	null	{"pairing": "no record with this root_F"}
FAIL	honest c1024/s1 <- record l0000-5390	["non_producer", "prime"]	{"exchange": "link_mode 'exchange'", "prime_live": "prime_live True, hello 'live-coins/v1', 2651 rounds, before_commit 2649, well formed True", "replayable": "root_f, root_b ['chain'], publics [196608] bytes", "context": "2 points of [26, 26], 2 y, m 26", "sigma": "hello \u03a3 0db5c2cf82f42a3097d306b8dbea189382835cbf99207ce1d3b5f4829eaf5c73, link \u03a3 0db5c2cf82f42a3097d306b8dbea189382835cbf992
FAIL	honest c1024/s2 <- record l0001-5390	["non_producer", "prime"]	{"exchange": "link_mode 'exchange'", "prime_live": "prime_live True, hello 'live-coins/v1', 2651 rounds, before_commit 2649, well formed True", "replayable": "root_f, root_b ['chain'], publics [196608] bytes", "context": "2 points of [26, 26], 2 y, m 26", "sigma": "hello \u03a3 0db5c2cf82f42a3097d306b8dbea189382835cbf99207ce1d3b5f4829eaf5c73, link \u03a3 0db5c2cf82f42a3097d306b8dbea189382835cbf992
FAIL	honest c1024/s3 <- record l0002-5390	["non_producer", "prime"]	{"exchange": "link_mode 'exchange'", "prime_live": "prime_live True, hello 'live-coins/v1', 2651 rounds, before_commit 2649, well formed True", "replayable": "root_f, root_b ['chain'], publics [196608] bytes", "context": "2 points of [26, 26], 2 y, m 26", "sigma": "hello \u03a3 0db5c2cf82f42a3097d306b8dbea189382835cbf99207ce1d3b5f4829eaf5c73, link \u03a3 0db5c2cf82f42a3097d306b8dbea189382835cbf992
FAIL	honest c1024/s4 <- record l0003-5390	["non_producer", "prime"]	{"exchange": "link_mode 'exchange'", "prime_live": "prime_live True, hello 'live-coins/v1', 2651 rounds, before_commit 2649, well formed True", "replayable": "root_f, root_b ['chain'], publics [196608] bytes", "context": "2 points of [26, 26], 2 y, m 26", "sigma": "hello \u03a3 0db5c2cf82f42a3097d306b8dbea189382835cbf99207ce1d3b5f4829eaf5c73, link \u03a3 0db5c2cf82f42a3097d306b8dbea189382835cbf992
FAIL	honest c1024/s5 <- record l0004-5390	["non_producer", "prime"]	{"exchange": "link_mode 'exchange'", "prime_live": "prime_live True, hello 'live-coins/v1', 2651 rounds, before_commit 2649, well formed True", "replayable": "root_f, root_b ['chain'], publics [196608] bytes", "context": "2 points of [26, 26], 2 y, m 26", "sigma": "hello \u03a3 0db5c2cf82f42a3097d306b8dbea189382835cbf99207ce1d3b5f4829eaf5c73, link \u03a3 0db5c2cf82f42a3097d306b8dbea189382835cbf992
FAIL	neg fiat-shamir prime prover against the live verifier (hello pins prime: live-coins/v1)	null	{"records": [], "aborted": []}
FAIL	neg prime coins across sessions: proof c1024/s1 against record l0001-5390	["non_producer", "prime"]	{"flock_replay": "rc 0, accepted True, why '', 0.344440096 s", "prime": "rc 2, accepted None, circuit pinned None, commitment pinned None, error None, None s"}
FAIL	tampered record: a prime coin word	["non_producer", "prime"]	{"flock_replay": "rc 0, accepted True, why '', 0.342238914 s", "prime": "rc 2, accepted None, circuit pinned None, commitment pinned None, error None, None s"}
FAIL	tampered record: prime before_commit - 1	["non_producer", "prime"]	{"flock_replay": "rc 0, accepted True, why '', 0.346706305 s", "prime": "rc 2, accepted None, circuit pinned None, commitment pinned None, error None, None s"}
FAIL	tampered record: a prime state	["non_producer", "prime"]	{"flock_replay": "rc 0, accepted True, why '', 0.345090781 s", "prime": "rc 2, accepted None, circuit pinned None, commitment pinned None, error None, None s"}
FAIL	tampered record: a Flock coin	["flock_replay", "non_producer", "prime"]	{"flock_replay": "rc 1, accepted False, why 'Zerocheck(SumcheckFinalFailed)', 0.320219802 s", "prime": "rc 2, accepted None, circuit pinned None, commitment pinned None, error None, None s"}
PASS	tampered record: a committed public word (hash re-sealed)	["flock_replay", "non_producer", "prime"]	{"replayable": "root_f, root_b ['chain'], publics [196608] bytes", "flock_replay": "rc 1, accepted False, why 'record: C4: the public chunk values of leaf 0 do not hash to its digest', 0.002091876 s"}
PASS	tampered record: y (link_sha256 re-sealed)	["flock_replay", "non_producer", "prime"]	{"flock_replay": "rc 1, accepted False, why 'PcsOpen(RingSwitch(ClaimMismatch))', 0.304615037 s", "prime": "rc 2, accepted None, circuit pinned None, commitment pinned None, error None, None s"}
PASS	tampered record: prime rounds dropped (a Fiat-Shamir record)	["flock_replay", "non_producer", "prime", "prime_live"]	{"prime_live": "prime_live True, hello 'live-coins/v1', 0 rounds, before_commit None, well formed True", "prime": "rc 2, accepted None, circuit pinned None, commitment pinned None, error None, None s"}
