FAIL	honest c4096/s0	null	{"pairing": "no record with this root_F"}
PASS	honest c4096/s1 <- record l0000-6153	["non_producer"]	{"exchange": "link_mode 'exchange'", "flock_replay": "rc 0, accepted True, why '', 0.457150621 s", "preserved": "proofs kept {'chain/rep0': True, 'chain/rep1': True}, want ['chain/rep0', 'chain/rep1']", "accepted": "accepted True, aborted None, reps [True, True]", "replayable": "root_f, root_b ['chain'], publics [786432] bytes", "context": "2 points of [28, 28], 2 y, m 28", "gated": "require_link 
PASS	honest c4096/s2 <- record l0001-6153	["non_producer"]	{"exchange": "link_mode 'exchange'", "flock_replay": "rc 0, accepted True, why '', 0.430127917 s", "preserved": "proofs kept {'chain/rep0': True, 'chain/rep1': True}, want ['chain/rep0', 'chain/rep1']", "accepted": "accepted True, aborted None, reps [True, True]", "replayable": "root_f, root_b ['chain'], publics [786432] bytes", "context": "2 points of [28, 28], 2 y, m 28", "gated": "require_link 
PASS	honest c4096/s3 <- record l0002-6153	["non_producer"]	{"exchange": "link_mode 'exchange'", "flock_replay": "rc 0, accepted True, why '', 0.430215208 s", "preserved": "proofs kept {'chain/rep0': True, 'chain/rep1': True}, want ['chain/rep0', 'chain/rep1']", "accepted": "accepted True, aborted None, reps [True, True]", "replayable": "root_f, root_b ['chain'], publics [786432] bytes", "context": "2 points of [28, 28], 2 y, m 28", "gated": "require_link 
PASS	honest c4096/s4 <- record l0003-6153	["non_producer"]	{"exchange": "link_mode 'exchange'", "flock_replay": "rc 0, accepted True, why '', 0.431108391 s", "preserved": "proofs kept {'chain/rep0': True, 'chain/rep1': True}, want ['chain/rep0', 'chain/rep1']", "accepted": "accepted True, aborted None, reps [True, True]", "replayable": "root_f, root_b ['chain'], publics [786432] bytes", "context": "2 points of [28, 28], 2 y, m 28", "gated": "require_link 
PASS	honest c4096/s5 <- record l0004-6153	["non_producer"]	{"exchange": "link_mode 'exchange'", "flock_replay": "rc 0, accepted True, why '', 0.431664051 s", "preserved": "proofs kept {'chain/rep0': True, 'chain/rep1': True}, want ['chain/rep0', 'chain/rep1']", "accepted": "accepted True, aborted None, reps [True, True]", "replayable": "root_f, root_b ['chain'], publics [786432] bytes", "context": "2 points of [28, 28], 2 y, m 28", "gated": "require_link 
FAIL	neg fiat-shamir prime prover against the live verifier (hello pins prime: live-coins/v1)	null	{"records": [], "aborted": []}
PASS	neg prime coins across sessions: proof c4096/s1 against record l0001-6153	["non_producer", "prime"]	{"prime": "rc 1, accepted False, circuit pinned True, commitment pinned True, error R2-prime: round 1: the proof's messages differ from those committed before the coin (then the verifier: LogUp T_OP level 1 round 0: sum mismatch), 0.062119 s", "flock_replay": "rc 0, accepted True, why '', 0.436670398 s"}
FAIL	tampered record: a prime coin word	["non_producer", "prime"]	{"prime": "rc 1, accepted False, circuit pinned True, commitment pinned True, error LogUp T_OP level 1: final check, 0.062799 s", "flock_replay": "rc 0, accepted True, why '', 0.440134199 s"}
PASS	tampered record: prime before_commit - 1	["non_producer", "prime"]	{"prime": "rc 1, accepted False, circuit pinned True, commitment pinned True, error R2-prime: root_F follows 3004 prime rounds, the session issued 3003 before Commit, 0.073599 s", "flock_replay": "rc 0, accepted True, why '', 0.435850436 s"}
PASS	tampered record: a prime state	["non_producer", "prime"]	{"prime": "rc 1, accepted False, circuit pinned True, commitment pinned True, error R2-prime: round 2: the proof's messages differ from those committed before the coin, 0.772973 s", "flock_replay": "rc 0, accepted True, why '', 0.440294141 s"}
PASS	tampered record: a Flock coin	["flock_replay", "non_producer"]	{"prime": "rc 0, accepted True, circuit pinned True, commitment pinned True, error None, 3.965869 s", "flock_replay": "rc 1, accepted False, why 'Zerocheck(SumcheckFinalFailed)', 0.369924138 s"}
PASS	tampered record: a committed public word (hash re-sealed)	["flock_replay", "non_producer"]	{"flock_replay": "rc 1, accepted False, why 'record: C4: the public chunk values of leaf 0 do not hash to its digest', 0.005419882 s", "replayable": "root_f, root_b ['chain'], publics [786432] bytes"}
PASS	tampered record: y (link_sha256 re-sealed)	["flock_replay", "non_producer", "prime"]	{"prime": "rc 1, accepted False, circuit pinned True, commitment pinned True, error link: sigma_128 parity disagrees with the binary side's y, 0.070615 s", "flock_replay": "rc 1, accepted False, why 'PcsOpen(RingSwitch(ClaimMismatch))', 0.398242767 s"}
PASS	tampered record: prime rounds dropped (a Fiat-Shamir record)	["flock_replay", "non_producer", "prime", "prime_live"]	{"prime": "rc 1, accepted False, circuit pinned True, commitment pinned None, error link: --require-live-coins: no prime_coins.txt (the prime proof's coins would be its own Fiat-Shamir), 0.0 s", "prime_live": "prime_live True, hello 'live-coins/v1', 0 rounds, before_commit None, well formed True"}
