sub_00.proof: ACCEPT (accept (interactive: coins are this verifier's step-0 coins)) 0.285s  python=true (accept (0.042s))
sub_01.proof: ACCEPT (accept (interactive: coins are this verifier's step-0 coins)) 0.290s  python=true (accept (0.027s))
sub_02.proof: ACCEPT (accept (interactive: coins are this verifier's step-0 coins)) 0.296s  python=true (accept (0.027s))
sub_03.proof: ACCEPT (accept (interactive: coins are this verifier's step-0 coins)) 0.282s  python=true (accept (0.027s))
sub_04.proof: ACCEPT (accept (interactive: coins are this verifier's step-0 coins)) 0.303s  python=true (accept (0.027s))
sub_05.proof: ACCEPT (accept (interactive: coins are this verifier's step-0 coins)) 0.286s  python=true (accept (0.027s))
sub_06.proof: ACCEPT (accept (interactive: coins are this verifier's step-0 coins)) 0.293s  python=true (accept (0.026s))
sub_07.proof: ACCEPT (accept (interactive: coins are this verifier's step-0 coins)) 0.284s  python=true (accept (0.027s))
sub_08.proof: ACCEPT (accept (interactive: coins are this verifier's step-0 coins)) 0.274s  python=true (accept (0.027s))
sub_09.proof: ACCEPT (accept (interactive: coins are this verifier's step-0 coins)) 0.273s  python=true (accept (0.027s))
sub_10.proof: ACCEPT (accept (interactive: coins are this verifier's step-0 coins)) 0.283s  python=true (accept (0.027s))
sub_11.proof: ACCEPT (accept (interactive: coins are this verifier's step-0 coins)) 0.276s  python=true (accept (0.027s))
sub_12.proof: ACCEPT (accept (interactive: coins are this verifier's step-0 coins)) 0.270s  python=true (accept (0.027s))
13 proofs: 13 accepted, 0 rejected (13 against their own coins); batch ACCEPT (accept: all 13 sub-batches accepted; union bound 2^-128.32 <= 2^-128); batch bits 128.319381 at target 128; system pinned (fp8-ada-v3); python agreement 13/13 (0 disagree); verify sum 3.695s, wall 0.588s at 7 jobs x 1 threads
