RTF	{"accepted":true,"attack":"y_sent_after_all_flock_coins_require_link_false","cond":"L1/R5","expect":"any","link_mode":"exchange","link_sha256_set":true,"pass":true,"prover_stopped":null,"require_link":false,"why":""}
thread 'main' (1689) panicked at crates/flock-live/src/lib.rs:445:37:
RTF	{"accepted":false,"attack":"y_sent_after_all_flock_coins_require_link_true","cond":"L1/R5","expect":"reject","link_mode":"exchange","link_sha256_set":false,"pass":true,"prover_stopped":"LIVE-REFUSED chain/rep0: R5: coin requested before root_F, the link points and y were received","require_link":true,"why":"Ok(Refused(\"session aborted: R5: coin requested before root_F, the link points and y were received\"))"}
RTF	{"accepted":false,"attack":"y1_y2_swapped","cond":"L2","expect":"reject","link_mode":"exchange","link_sha256_set":true,"pass":true,"prover_stopped":null,"require_link":true,"why":"PcsOpen(RingSwitch(ClaimMismatch))"}
RTF	{"accepted":false,"attack":"y_of_other_operands","cond":"L2","expect":"reject","link_mode":"exchange","link_sha256_set":true,"pass":true,"prover_stopped":null,"require_link":true,"why":"PcsOpen(RingSwitch(ClaimMismatch))"}
thread 'main' (1689) panicked at crates/flock-live/examples/rtf_link_attacks.rs:532:30:
RTF	{"accepted":false,"attack":"commit_extra_table","cond":"L1/L3","expect":"reject","link_mode":"exchange","link_sha256_set":false,"pass":true,"prover_stopped":"LIVE-REFUSED commit: Ok(Refused(\"L1/L3: root_B must be committed for exactly the tables [\\\"chain\\\"], together\"))","require_link":true,"why":"Ok(Refused(\"session aborted: L1/L3: root_B must be committed for exactly the tables [\\\"chain\\\"], together\"))"}
RTF	{"accepted":false,"attack":"commit_before_hello","cond":"L1/R7","expect":"reject","link_mode":"exchange","link_sha256_set":false,"pass":true,"prover_stopped":"R7: stream opened before the session parameters","require_link":true,"why":"Ok(Refused(\"session aborted: R7: stream opened before the session parameters\"))"}
thread 'main' (1689) panicked at crates/flock-live/examples/rtf_link_attacks.rs:532:30:
RTF	{"accepted":false,"attack":"commit_publics_leaves_swapped","cond":"L4","expect":"reject","link_mode":"exchange","link_sha256_set":false,"pass":true,"prover_stopped":"LIVE-REFUSED commit: Ok(Refused(\"C4: the public chunk values of leaf 0 do not hash to its digest\"))","require_link":true,"why":"Ok(Refused(\"session aborted: C4: the public chunk values of leaf 0 do not hash to its digest\"))"}
thread 'main' (1689) panicked at crates/flock-live/examples/rtf_link_attacks.rs:532:30:
RTF	{"accepted":false,"attack":"proof_binds_other_publics","cond":"L4/C4","expect":"reject","link_mode":"exchange","link_sha256_set":false,"pass":true,"prover_stopped":"LIVE-REFUSED commit: Ok(Refused(\"C4: the public chunk values of leaf 0 do not hash to its digest\"))","require_link":true,"why":"Ok(Refused(\"session aborted: C4: the public chunk values of leaf 0 do not hash to its digest\"))"}
thread 'main' (1689) panicked at crates/flock-live/src/lib.rs:445:37:
RTF	{"accepted":false,"attack":"rep1_other_witness","cond":"L1/R1","expect":"reject","link_mode":"exchange","link_sha256_set":true,"pass":true,"prover_stopped":"LIVE-REFUSED chain/rep1: R1: chain/rep1 committed root b91f6e760934d21a but rep 0 committed 22dd9be578e7df0f; no rep-1 coin is issued","require_link":true,"why":"Ok(Refused(\"session aborted: R1: chain/rep1 committed root b91f6e760934d21a but rep 0 committed 22dd9be578e7df0f; no rep-1 coin is issued\"))"}
RTF	{"accepted":true,"attack":"honest_control","cond":"-","expect":"accept","link_mode":"exchange","link_sha256_set":true,"pass":true,"prover_stopped":null,"require_link":true,"why":""}
RTF	{"accepted":true,"attack":"y_sent_after_all_flock_coins_require_link_false","cond":"L1/R5","expect":"any","link_mode":"exchange","link_sha256_set":true,"pass":true,"prover_stopped":null,"require_link":false,"why":""}
thread 'main' (2077) panicked at crates/flock-live/src/lib.rs:445:37:
RTF	{"accepted":false,"attack":"y_sent_after_all_flock_coins_require_link_true","cond":"L1/R5","expect":"reject","link_mode":"exchange","link_sha256_set":false,"pass":true,"prover_stopped":"LIVE-REFUSED chain/rep0: R5: coin requested before root_F, the link points and y were received","require_link":true,"why":"Ok(Refused(\"session aborted: R5: coin requested before root_F, the link points and y were received\"))"}
RTF	{"accepted":false,"attack":"y1_y2_swapped","cond":"L2","expect":"reject","link_mode":"exchange","link_sha256_set":true,"pass":true,"prover_stopped":null,"require_link":true,"why":"PcsOpen(RingSwitch(ClaimMismatch))"}
RTF	{"accepted":false,"attack":"y_of_other_operands","cond":"L2","expect":"reject","link_mode":"exchange","link_sha256_set":true,"pass":true,"prover_stopped":null,"require_link":true,"why":"PcsOpen(RingSwitch(ClaimMismatch))"}
thread 'main' (2077) panicked at crates/flock-live/examples/rtf_link_attacks.rs:532:30:
